,date,year,month,day,area,lon,lat,fire,Alti,TEM_Max,TEM_Min,RHU_Min,PRE_Time_2020,Snow_Depth,WIN_S_Max,yth1,yth10,yth100,yth1000,kb,erc,sc,bi,p,FFMC,DMC,DC,FWI,ISI,BUI,DSR,FFDI,ic
2853,2015-07-15,2015,7,15,黑龙江省,124.9424,53.1578,0,371.03068698384027,28.567296966390263,5.188809685726874,27.869187865561035,0.0,0.0,2.6000000000000005,6.1584159978175705,8.324491633784401,13.705145694456597,14.786729696639027,211.29197551157466,35.83204897293755,4.904578424705365,32.427470548232186,0.6843025438673235,92.95681648756002,58.677541831078,383.5730540048071,29.93943273024877,10.450551761676081,84.81837573112206,11.158967759493652,0.6401890899170772,12.065406067219488
2854,2015-07-15,2015,7,15,黑龙江省,122.2965,53.0649,0,438.9137330335813,30.398911228859,6.596189301006489,17.016331567115053,0.0,0.0,3.4945561442949837,4.153266313423011,5.645552732819117,9.414480656175344,10.471377658423487,308.09593960931227,22.022361907515748,2.175971546778288,17.847462437381232,0.809618930100649,95.7158626696642,150.23877476934422,443.6900508092559,54.47977426140529,17.995665964998576,162.68956158800665,32.19331276761354,0.6903810698993511,37.94556144294984
2855,2015-07-15,2015,7,15,黑龙江省,122.3213,53.0597,0,438.8431718566629,30.399096916166677,6.596839206583369,17.01354625749985,0.0,0.0,3.495484580833384,4.152709251499971,5.644605727549949,9.4120110149832,10.46943722605823,308.144385427886,22.025370041900164,2.1766585898167046,17.85130616465021,0.809683920658337,95.71656828143337,150.29185348624458,443.707096904101,54.491751092750654,17.999816076325228,162.72886230667712,32.20468611520895,0.6903160793416631,37.95484580833384
2856,2015-07-15,2015,7,15,黑龙江省,121.7359,52.4087,0,460.58318011466946,30.074897527934844,6.726869257391278,17.87222614456504,0.0,0.0,3.5,4.305414840304317,5.804930034608662,9.467399292989116,10.539293285869551,295.175289104144,23.76938656481487,2.6525879837825133,20.015676315630003,0.7877978799565263,95.44723109660875,145.3626332384141,443.9374855117174,53.0894176742829,17.47842685751098,159.13850319688117,30.935802125978526,0.6717625442500036,36.25554771086992
2857,2015-07-15,2015,7,15,黑龙江省,121.7521,52.4022,0,460.29661048491516,30.07911632679299,6.725222896861272,17.860907415921247,0.0,0.0,3.5,4.303398048655058,5.802789765919654,9.466524663957554,10.538264310538295,295.3466443660578,23.746944612840213,2.6464552908082384,19.987832243166267,0.7880859930492775,95.45077077174828,145.42994880458477,443.9355716176013,53.10837139988461,17.485454759023444,159.18757503042872,30.952986014010474,0.6719992085761922,36.27818516815751
2858,2015-07-16,2015,7,16,黑龙江省,124.9806,53.1505,1,361.9,32.49999999999999,7.199999999999999,14.999999999999998,0.0,0.0,2.8,3.9199999999999995,6.05,13.399999999999999,14.649999999999999,226.38,45.74999999999999,5.91,39.54999999999999,0.7,96.31999999999998,65.25999999999999,398.47,43.38,17.22,92.59999999999998,21.5,0.69,20.999999999999996
2859,2015-07-16,2015,7,16,黑龙江省,124.9986,53.1389,1,361.9,32.49999999999999,7.199999999999999,14.999999999999998,0.0,0.0,2.8,3.9199999999999995,6.05,13.399999999999999,14.649999999999999,226.38,45.74999999999999,5.91,39.54999999999999,0.7,96.31999999999998,65.25999999999999,398.47,43.38,17.22,92.59999999999998,21.5,0.69,20.999999999999996
2860,2015-07-16,2015,7,16,黑龙江省,124.9388,53.156,1,361.9,32.5,7.200000000000001,15.0,0.0,0.0,2.8,3.92,6.05,13.4,14.65,226.38000000000002,45.75,5.910000000000001,39.55,0.7,96.32,65.26,398.4700000000001,43.38,17.22,92.6,21.5,0.69,21.0
2861,2015-07-16,2015,7,16,黑龙江省,124.9424,53.1578,1,361.9,32.5,7.200000000000001,15.0,0.0,0.0,2.8,3.92,6.05,13.4,14.65,226.38000000000002,45.75,5.910000000000001,39.55,0.7,96.32,65.26,398.4700000000001,43.38,17.22,92.6,21.5,0.69,21.0
2862,2015-07-16,2015,7,16,黑龙江省,122.2965,53.0649,1,438.5,33.10000000000001,6.7,13.0,0.0,0.0,2.5,3.4200000000000004,4.93,9.54,10.330000000000002,316.36,23.05,1.6000000000000003,15.82,0.8200000000000001,97.03000000000002,157.54,453.45,54.76,17.93,168.62,32.48,0.73,37.0
